id,name,type,rarity,flags_joined,has_show_in_wardrobe,has_override_rarity,details_type,damage_type,weight_class,restrictions_count,icon
1,Chainmail Leggings,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/9321FD09DF90E8D10D80B5C41D722F357FE5970A/61104.png
2,Chainmail Chestpiece,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/A2D0D6DA90056E76F1BE244F0C9EF333F95D9746/61098.png
3,Apprentice Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/AAB41A903B03C7DEB833A8CC4E08CF0A02A67BD5/61404.png
4,Apprentice Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/DB0264EE5C0079BB3996EC7B0297CEE1BD48EF07/61403.png
5,Rawhide Leggings,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/5AEBD46A0ACC3C3CE1EBB60F0445322D14049171/61348.png
6,Rawhide Vest,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/D39FF60AFE11FF260A3F0B24484CA8BCB909E0B0/61015.png
7,Scallywag Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/2AD0FE1D59CBE7ED40FABF3E9F5E26DA22930E19/61068.png
8,Scallywag Chest,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/B6B564EFEBF6A3075A27E96F1DB97779139EA0D2/61044.png
9,Seer Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png
10,Seer Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/1920ACA302E656B60C38605521760351F147809D/61088.png
11,Sneakthief Leggings,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/DD4D5CEC01DD45E656A7B6DA540161385D78B2B8/561553.png
12,Sneakthief Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png
13,Country Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png
14,Worn Chain Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/7BC73DF50048E4AC0C01ED0EEBDB403B637AD23B/61067.png
16,Apprentice Shoes,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/473A59626E38EFE4FC5B4259AD96B12015A0900F/61344.png
17,Studded Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/5050F9A0AAA5324F0501B7944876F0FA29DCEB97/61008.png
18,Country Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/1CE056916131A73FCE22D7BC24090AC577CA6773/61087.png
19,Rawhide Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/E6255C53689406A5E525394273ED04BEB3A0625E/61017.png
20,Chainmail Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/1E1768B71B5422D87870D76A3BBA185A41AFEF4C/61100.png
21,Worn Chain Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/41DE30110F45F035CEB206050CEC3F0A320AAA26/61043.png
22,Studded Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/9EDA0D4C957DA89F653E9D27695592B139ECD035/61049.png
23,Worn Scale Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/98C00DB9750FBC0874B30F0C2269DCF4EFCFB841/61069.png
